Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Carmelo Anthony,PF,29,NYK,77,77,2982,9,19.8,0.452,2,5,0.402,7,14.8,0.469,5.5,6.5,0.848,1.8,5.8,7.5,2.9,1.1,0.6,2.4,2.7,25.5
2,Carmelo Anthony,SF,23,DEN,77,77,2806,9.3,19,0.492,0.7,2.1,0.354,8.6,16.9,0.509,6,7.6,0.786,2.3,5,7.3,3.3,1.3,0.5,3.2,3.2,25.4
3,Caron Butler,SF,33,TOT,56,13,1419,5.4,13.7,0.394,2.5,6.3,0.394,2.9,7.4,0.395,1.6,1.9,0.84,0.5,5.3,5.8,2.1,1.2,0.4,1.5,3,14.9
4,Caron Butler,SF,27,WAS,58,58,2314,6.8,14.7,0.466,1,2.9,0.357,5.8,11.8,0.492,3.7,4.1,0.901,1.4,4.6,6,4.4,2,0.3,2.3,2.5,18.4
5,Cartier Martin,SF,29,TOT,59,6,870,4.6,10.9,0.42,2.4,6.2,0.391,2.2,4.7,0.46,2,2.7,0.738,0.5,4,4.6,1.4,1.1,0.3,1.4,2.9,13.6
6,Casey Jacobsen,SG,26,MEM,53,0,547,2.6,7.6,0.339,1.1,4.7,0.222,1.5,2.8,0.535,0.9,1.1,0.765,0.8,3.5,4.3,1.3,0.3,0.1,1.1,2.2,7
7,Cedric Ceballos,SF,31,MIA,27,0,393,6.7,14.5,0.462,1,3,0.333,5.7,11.5,0.496,2.7,3,0.879,2.5,4.9,7.3,1.2,0.9,0.4,2.1,3.8,17
8,Cedric Ceballos,SF,31,TOT,40,0,559,6.5,14.7,0.441,1.4,4.7,0.301,5.1,10,0.506,2.4,2.8,0.86,2.2,4.6,6.8,1.3,1,0.5,2.1,3.9,16.8
9,Cedric Ceballos,SF,27,PHO,42,32,1147,7.8,16.8,0.464,0.7,2.5,0.259,7.1,14.2,0.501,4,5.4,0.737,2.9,5.8,8.7,1.5,0.9,0.5,2.1,3,20.2
10,Cedric Ceballos,SF,27,TOT,50,40,1426,7.1,15.6,0.457,0.7,2.6,0.255,6.5,13,0.497,3.5,4.7,0.747,2.6,5.8,8.3,1.6,0.8,0.6,2.1,2.9,18.4
11,Cedric Ceballos,SF,22,PHO,64,4,725,8.7,18.1,0.482,0,0.3,0.167,8.7,17.8,0.487,5.4,7.3,0.736,3,4.6,7.5,2.5,0.8,0.5,3.5,2.6,22.9
12,Cedric Henderson,SF,25,CLE,55,10,961,3.8,9.8,0.389,0,0.3,0.125,3.8,9.5,0.398,1.1,1.7,0.652,0.7,2.7,3.4,3,1.1,0.9,2.4,3.8,8.8
13,Chandler Parsons,SF,25,HOU,74,74,2783,6,12.8,0.472,1.7,4.5,0.37,4.3,8.2,0.528,2.1,2.9,0.742,0.9,4.4,5.3,3.9,1.1,0.4,1.9,2.2,15.9
14,Channing Frye,C,24,POR,78,20,1342,5.9,12.2,0.488,0.1,0.3,0.3,5.8,11.9,0.492,2.3,2.9,0.78,2.9,6.6,9.5,1.5,0.8,0.7,1.5,5.6,14.2
15,Channing Frye,PF,30,PHO,82,82,2312,5.2,12.1,0.432,2.5,6.7,0.37,2.7,5.4,0.509,1.2,1.5,0.821,1.1,5.3,6.5,1.5,0.9,1,1.4,3.8,14.2
16,Charles Barkley*,PF,33,HOU,53,53,2009,6,12.4,0.484,1,3.7,0.283,5,8.7,0.569,5.2,7.4,0.694,3.8,9,12.8,4.4,1.2,0.4,2.7,2.7,18.2
17,Charles Barkley*,PF,28,PHI,75,75,2881,7.8,14.1,0.552,0.4,1.7,0.234,7.4,12.4,0.597,5.7,8.2,0.695,3.4,7,10.4,3.8,1.7,0.5,2.9,2.4,21.6
18,Charles Jones,C,34,WSB,75,32,1365,0.9,2.4,0.367,0,0,,0.9,2.4,0.367,0.5,1.1,0.5,2.8,5.6,8.4,1.6,1.1,2.4,1,5.6,2.3
19,Charles Oakley,PF,37,TOR,78,77,2767,4,10.2,0.388,0.1,0.6,0.224,3.8,9.6,0.399,1.7,2,0.836,1.8,7.8,9.6,3.4,1,0.6,1.8,3.4,9.7
20,Charles Oakley,PF,33,NYK,80,80,2873,4.2,8.7,0.488,0.1,0.2,0.263,4.2,8.5,0.495,2.3,2.8,0.808,3.1,6.7,9.8,2.8,1.4,0.3,2.1,3.8,10.8
21,Charles Oakley,PF,28,NYK,82,82,2309,3.3,6.3,0.522,0,0,0,3.3,6.2,0.526,1.3,1.8,0.735,4,6.9,10.9,2.1,1,0.2,1.9,4,7.9
22,Charles Shackleford,C,25,PHI,72,62,1399,5.3,10.9,0.486,0,0,0,5.3,10.8,0.487,1.6,2.4,0.663,3.7,6.9,10.7,1.2,1,1.3,1.6,5.3,12.2
23,Charles Smith,SF,26,LAC,49,25,1310,6.9,14.8,0.466,0,0.2,0,6.9,14.6,0.471,5.8,7.4,0.785,2.6,5.7,8.3,1.5,1.1,2.7,1.9,4.4,19.6
24,Charles Thomas,SG,22,DET,36,0,156,4.2,11.8,0.353,0.5,3.9,0.118,3.7,7.8,0.471,2.3,3.5,0.667,1.4,3.7,5.1,5.1,0.9,0.2,3.9,4.6,11.1
25,Charlie Bell,SG,28,MIL,68,5,1628,4.1,10.7,0.381,1.6,4.8,0.341,2.5,5.9,0.413,1.5,1.9,0.805,0.7,3,3.7,4.6,1.1,0,1.7,2.7,11.4
26,Charlie Villanueva,PF,29,DET,20,0,180,7,18.4,0.38,2.8,11.2,0.25,4.2,7.2,0.583,1.6,2.8,0.571,1.2,5.6,6.8,1.2,0.8,1,1.4,3.2,18.4
